original_name,cleaned_name,aligned_name,taxonomic_dataset,taxon_rank,aligned_reason,alignment_code
Acacia sp. Ravensthorpe Range (B.R. Maslin 5463),Acacia sp. Ravensthorpe Range (B.R. Maslin 5463),Acacia sp. Ravensthorpe Range (B.R.Maslin 5463),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name
Acacia spp,Acacia sp.,Acacia sp. [Barrett_2009],APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2023-09-08),match_01a_exact_genus_accepted_or_known
Acacia stereophylla,Acacia stereophylla,Acacia stereophylla,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia subtiliformis,Acacia subtiliformis,Acacia subtiliformis,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia sulcata ssp. sulcata,Acacia sulcata subsp. sulcata,Acacia sulcata var. sulcata,APC,variety,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name
Acacia truculenta,Acacia truculenta,Acacia truculenta,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia trulliformis,Acacia trulliformis,Acacia trulliformis,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia tryptycha,Acacia tryptycha,Acacia triptycha,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name
Acacia undosa,Acacia undosa,Acacia undosa,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia unifillis,Acacia unifillis,Acacia unifissilis,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name
Acacia veronica,Acacia veronica,Acacia veronica,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acidonia microcarpa,Acidonia microcarpa,Acidonia microcarpa,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acrotriche cordata,Acrotriche cordata,Acrotriche cordata,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acrotriche dura,Acrotriche dura,Acrotriche dura,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acrotriche parviflora,Acrotriche parviflora,Acrotriche parviflora,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Actinotus rhomboideus,Actinotus rhomboideus,Actinotus rhomboideus,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Actinotus sp Walpole,Actinotus sp. Walpole,Actinotus sp. Walpole (J.R.Wheeler & S.J.Patrick 3786),APC,species,Exact match of the first two words of the taxon name to an APC-known canonical name (2023-09-08),match_14b_binomial_exact_known
Adeanthos cuneatus,Adeanthos cuneatus,Adenanthos cuneatus,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name
Adenanthos cacomorphus,Adenanthos cacomorphus,Adenanthos cacomorphus,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Adenanthos cuneatus,Adenanthos cuneatus,Adenanthos cuneatus,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Adenanthos cygnorum,Adenanthos cygnorum,Adenanthos cygnorum,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Adenanthos dobagii,Adenanthos dobagii,Adenanthos dobagii,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
